"Event","Date","Run_No","Position","Time","Age_Grade","PB"
"Skipton",2024-07-27,504,155,00:40:19,"44.85%",""
"Skipton",2024-06-29,500,195,00:37:50,"47.80%","PB"
"Skipton",2024-06-22,499,193,00:40:03,"45.15%",""
"Skipton",2024-06-15,498,166,00:38:51,"46.55%",""
"Skipton",2024-06-01,496,213,00:38:34,"46.89%","PB"
"Skipton",2024-05-25,495,202,00:39:01,"46.35%","PB"
"Skipton",2024-05-18,494,199,00:41:11,"43.91%",""
"Skipton",2024-05-04,492,214,00:39:41,"45.57%",""
"Skipton",2024-04-27,491,199,00:41:24,"43.68%",""
"Skipton",2024-04-20,490,179,00:39:35,"45.68%","PB"
"Skipton",2024-04-13,489,224,00:41:10,"43.93%",""
"Skipton",2024-03-23,486,152,00:40:55,"44.20%",""
"Skipton",2024-03-16,485,212,00:41:36,"43.47%",""
"Skipton",2024-03-09,484,166,00:41:47,"43.28%",""
"Skipton",2024-03-02,483,166,00:40:51,"44.27%","PB"
"Skipton",2024-02-24,482,200,00:42:48,"42.25%","PB"
"Skipton",2024-02-10,480,188,00:44:05,"41.02%",""
